stay_length,lead_time,adr,hotel,is_canceled,is_repeated_guest,arrival_date_month,is_parking_required
7,53,141.0,Resort Hotel,0,0,August,0
2,47,140.0,City Hotel,0,0,September,0
3,197,118.2,City Hotel,0,0,August,0
7,161,37.8,Resort Hotel,1,0,January,0
1,20,98.0,City Hotel,0,0,January,0
1,17,95.0,City Hotel,1,0,June,0
2,6,54.0,Resort Hotel,0,0,October,0
2,5,75.0,Resort Hotel,0,0,June,0
4,13,79.15,City Hotel,0,0,March,0
6,112,189.0,Resort Hotel,0,0,August,0
7,107,147.0,Resort Hotel,1,0,May,0
2,5,48.0,Resort Hotel,0,0,January,0
5,11,85.0,City Hotel,0,0,July,0
6,93,231.0,Resort Hotel,1,0,August,0
3,7,162.0,City Hotel,0,0,August,1
4,152,141.0,Resort Hotel,1,0,August,0
4,85,126.0,City Hotel,1,0,May,0
2,41,130.0,City Hotel,1,0,April,0
8,314,101.7,Resort Hotel,1,0,June,0
3,20,66.0,City Hotel,0,0,January,0
1,34,180.0,City Hotel,0,0,May,0
6,7,100.0,Resort Hotel,0,0,February,0
10,307,120.69,City Hotel,1,0,June,0
4,214,115.0,City Hotel,0,0,August,0
4,3,138.0,City Hotel,0,0,October,0
3,18,80.0,Resort Hotel,0,0,March,0
6,23,219.58,Resort Hotel,0,0,July,1
7,154,92.1,Resort Hotel,0,0,July,0
1,5,48.0,Resort Hotel,0,0,February,0
4,65,132.6,City Hotel,1,0,May,0
3,202,27.9,Resort Hotel,1,0,February,0
1,128,93.6,City Hotel,0,0,March,0
4,155,99.0,City Hotel,0,0,April,0
4,93,89.25,City Hotel,0,0,October,0
4,188,49.95,Resort Hotel,1,0,June,0
7,20,26.1,Resort Hotel,0,0,November,0
3,211,134.0,Resort Hotel,1,0,August,0
4,76,87.91,Resort Hotel,0,0,August,0
2,27,139.0,City Hotel,0,0,July,0
1,32,117.0,Resort Hotel,0,0,October,1
4,19,96.9,City Hotel,0,0,January,0
5,87,82.45,City Hotel,0,0,March,0
7,91,84.95,Resort Hotel,0,0,April,0
4,5,106.8,Resort Hotel,0,0,August,0
11,325,130.36,Resort Hotel,1,0,July,0
4,49,68.0,Resort Hotel,0,0,November,1
7,202,118.75,Resort Hotel,0,0,August,0
7,319,71.29,Resort Hotel,1,0,June,0
8,57,129.0,Resort Hotel,1,0,June,0
5,5,165.32,Resort Hotel,0,0,August,0
2,62,115.04,City Hotel,0,0,September,0
4,24,74.8,City Hotel,0,0,November,0
2,33,75.0,City Hotel,0,0,January,0
2,4,98.1,Resort Hotel,0,0,September,1
1,11,48.0,Resort Hotel,0,0,December,0
5,40,85.0,Resort Hotel,1,0,April,0
10,231,81.82,City Hotel,1,0,August,0
1,134,75.0,City Hotel,1,0,February,0
1,1,98.0,City Hotel,0,0,January,0
3,25,75.0,City Hotel,0,0,February,0
3,147,89.75,City Hotel,0,0,September,0
4,213,80.75,City Hotel,1,0,August,0
3,317,104.05,City Hotel,1,0,August,0
3,33,189.33,Resort Hotel,0,0,June,1
2,64,120.0,City Hotel,0,0,July,0
7,62,44.18,Resort Hotel,0,0,October,0
2,7,136.0,City Hotel,0,0,October,0
1,80,108.0,City Hotel,0,0,July,0
7,34,66.0,Resort Hotel,0,0,March,0
1,7,97.0,City Hotel,0,0,May,0
4,108,108.0,City Hotel,0,0,May,0
2,199,48.0,City Hotel,1,0,September,0
